Name,Attachments,Date,Calculation,Value
02/25,Movimenti_Conto_09032025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/hIAj1-L9WOG9q-VdZnQRxg/HVfdjzmlQ93r97pnmmiuKyX761TNvkssSGc3igxjyEKkZwhLYftc1svGt5McmC5ncGqxY1cjRUoGHC_Zax1G2UC4_tUjuQReddUHRRhfu_yWYFfP3IALfKdYsgz-2E70WWi7S3w6q-P5sXimEe968ahmxcuMu2Pmha_TQveYRfObz9mGsAvIJmG6Q-VddOa1/dXx1fMjTdIXOhpDRJWLmKNXX0F55lBWpkEQ6Q4puHoE),28/2/2025,0,"€39655,59"
03/25,Movimenti_Conto_06042025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/1Go_jeiFQIupABkecfamOQ/t5Xsd_zkeMaD5igoKY_8n518wimgG_dkWggbn8UdZiuIDzGyGju7gzzMWB6URCGC1pL9xXCZ4vfg7ocQQzAXQcaperoxgV_sRBWHUJ1I-cCpZd2ScIHbA9cGVM-tu-8xwkYx6h3OMRugycgevpVr-z4zSKC4_u9-U0BPDpDUobekOVZcxjtm0HCD_TUICmjS/TWkSkiM1SSXjIZxSkuq9ee6U8sh7Nh1t531xOX2Rx0g),31/3/2025,0,"€37168,06"
04/25,Movimenti_Conto_12052025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/yJwIeSEymSCsfActgLLcBg/8-u1GYtPue7wop3imOMoIlUINx1Bo3G081mn64PV-bGitDLim0gjM_WIjwGzvrDoMBOSX3Fsz9WZQ7VQtNT4nLDwmYSMmrjmwJUm0TBzHdm9CkaR2iV0Jdq-xoq4dQzP4voPow46xy5Ipx0w1HrlbrGi9_peDoYSX9oZdECe44YqbhgjEPGIau63hz3lPmBU/wk5P28xSxf5Aly-8KK36dcnBc_3DiBcYAvTPaxWqiH0),30/4/2025,0,"€35989,42"
05/25,Movimenti_Conto_08062025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/08FL0_VzXIN2Nk3-Y8TSDA/OFgOo3hpn6nwJKhUiLc-lBUDfx9YPHsUHMaFjKHQNBZ29ePtHfCu-PmCamd8yD2wxTrkdiUXhmtmgIkILQSh_7RukfHjZb5MHKTWdhdQkZf3YNfqV7kN6QE9WmsVaSdYhUKfyi6z9oEjIqMNLtShJLEUeHkQJlwzeqDHXWtOstlkztujeHRpwg8-NKoJYTCX/p8qCwE_QzrvkbcmP_ZIGZGgcXukUsaelyJ81Im2nwN8),31/5/2025,0,"€37147,34"
06/25,Movimenti_Conto_06072025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/mZgefP_Bzx-fGs8t5_8UOg/78ygl8qqm2M04SjCKAoePeuCj5vmUgCYt77CNhbPIhUOpixVIUybvRZ9ha767aGdc-mP7a_CunmV0IDIJJuXHr1N4n8QjBP_RJzflCg5fG9zLetq8y7hYf4CufCLHIuKtOg9Yu7oC2dBM7OiML5J4ljUOBaVme05rac8IPpzU8WihywHnoWDmil2IT9wooTv/9Pv6To-P7MWM6OWwBFsidxGvus63unJX0kUtpci-uG8),30/6/2025,0,"€36637,77"
07/25,Movimenti_Conto_12082025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/0MbAEhrAkX6nB-4CZJhnfA/l4CsMFTWF2N1obJ2Ujs857PwSBMwBzhpQ8KScGibbX9lis-yV6j3Y1yye--GCIIOEnuUdpQdbE5P5nT65CRWGpjfDvLHA1mr_Uab4iAn8B-6kOPgbLhKaGkauzQmyx1ie1TvZwUu_t_0xdHXSUPpPUJolaliYs-0C4btY6j2FFqSm6YA6UAkesloJrS2xqw1/rqSh_byHaW4KXhS5jnToXcFX5zEIudoGar3AEKiXfMs),31/7/2025,0,"€26535,85"
08/25,Movimenti_Conto_08092025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/gdYIx4wJv1Z0SxjaTqTCSA/YtXU59dMK4eXRjH-O1xI7yZhOXHR3wFtdVt4gjkeHq5N4YN_eWoVM06dNKx-Qt1MMoeESOZOsinwMmkEZYtk-6_Und4fWmAiF71-rr1ilCYzuG1_Iyp1MIPau2rR7fWIcG_Y1ciLU_-bwI2Wi41Kz8__SMQ0L8HJljnRzjhLC30J2-E-mvCGbnC-zyZmz-gC/oJEiPjbSD9szapvUjrHABr2W81143DCfRAG5lAvz8I4),31/8/2025,0,"€34500,07"
09/25,Movimenti_Conto_13102025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/87inQAVv7u2qJpW3ozzzMg/26XQ1NXzMt_15bWrFYQjkZA9tdRamgFBmqTYsu9I75ciykIQLxtEF3tbIFe-YIasLE3j8BcRM6jGqBY6A-2WCp6ufzop5cCTP4CAezeS6fDSYqgNKL6_nZRFO9ewPTPo7bCIu_ME6DYXIkKj3kzsZtvNkJ1IGJll9lq00lCKqBgvXDz9rD5vX5RvE0wwfXzO/vyjFHgR70gbgAlM-xFhccN8t886iwUUv5obOxckMpek),30/9/2025,0,"€34407,29"
10/25,Movimenti_Conto_12112025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/NFSlnaABe2osxDPSFgJi4g/7KmfC-SeVQw0hD4RQOo5cWF_3fXyz5HKpLpHHijGGKoAa0180axCc0OQnhDQqlBWfS4lgTaRaKr-iAB4zhCqumUyHPL-rZey79rec57r47taRwC-Bz-VLniJmMnbswzJEqJsLtTxht6dIGOHRQHDmbugTS2Mf08pPrnZY6HwpJYEQcgO_yiLnjZqsvUcPPTQ/s_VvK_b_FjJe5aJ8YcFa0oXSdQ25BezAv0Yyiq5hhL4),31/10/2025,0,"€25618,69"
11/25,Movimenti_Conto_07122025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/aKLVwlt2aW2uYGZzoInkZw/HAv_pHxWgX-u2IlEHwtMe_27P2FZ8HJoYBSI3wxfgaD7Jbb1lskA5ExYkdlibrHl68D69fmOi1MiFFl8YVqJbAjycUp1SO9PDkF8aKGRtowyvrhhThofLiui0gCvJ5YPs78YgYL6X2OPKQLvVGpp6KZEACXJd6bN0AGNL2WzdCe1Ibf-PnzaRCM_-qxHHWLS/C2pQ1sYIaBuBOuYE5LGZhAp8XrA7l2FpPbkxykndMCA),30/11/2025,0,"€24085,89"
