Tariffa,Costo,Prezzo,Tags,Tipo tariffa,Margine,% Margine,Ordini,Ordini 2,Ordini 3,Table 8,Dettagli Tariffa,Registro Servizi Collaboratori copy,Template Servizi in Vendita,Area text
Manutenzione Sito Web Vetrina,"€30,00","€50,00",Siti Web & E-commerce,tariffa mensile,"€20,00",40%,,,,24-0004--Partito Democratico di Genova e della Liguria ,,,,Siti Web & E-commerce
Manutenzione e Assistenza Sito Web Vetrina,"€40,00","€100,00",Siti Web & E-commerce,tariffa mensile,"€60,00",60%,,,,"24-0002-7-Fanimar,24-0001-8-Aqua,24-0027--Camera di Commercio Genova ,24-0042-1-Edilporta,25-0006-1-Aqua,25-0007-1-Fanimar,25-0029-2-Top Pulizie",,,,Siti Web & E-commerce
Ottimizzazione Testi Sito Web Vetrina,"€20,00","€50,00",Copywriting,tariffa oraria,"€30,00",60%,,,,25-0029-3-Top Pulizie,,,,Copywriting
Sviluppo del concept,"€20,00","€50,00",Video,tariffa oraria,"€30,00",60%,,,,24-0007-1-Banchero Costa Insurance,,,,Video
Sviluppo della Sceneggiatura,"€20,00","€50,00",Video,tariffa oraria,"€30,00",60%,,,,,,,,Video
Creazione dello Storyboard,"€20,00","€50,00",Video,tariffa oraria,"€30,00",60%,,,,25-0010-4-GLEEYE,,Video Explainer Pnrr,,Video
"Attività di Pre-Produzione, Pianificazione, Organizzazione Set Video","€15,00","€30,00",Video,tariffa oraria,"€15,00",50%,,,,"24-0037-1-Ameri,24-0041-4-Start 4.0,25-0010-5-GLEEYE",,Video Explainer Pnrr,,Video
Raccolta materiale,"€15,00","€30,00",Video,tariffa oraria,"€15,00",50%,,,,"24-0007-2-Banchero Costa Insurance,24-0041-5-Start 4.0",,,,Video
Servizi grafica,"€20,00","€50,00",Grafica,tariffa oraria,"€30,00",60%,,,,"24-0009--Fabio Gilardi Sindaco ,24-0013-1-Fanimar,24-0020-1-,24-0022--,24-0027--Camera di Commercio Genova ,24-0008-3-Ordine Ingegneri Genova ,25-0001--Roberto Arboscello - Vicepresidente Consiglio Regionale della Liguria ,25-0005-1-,25-0014-7-Start 4.0,--,25-0022-1-GLEEYE",,"Company Profile 10PAG,Podcast da Remoto Essential",,Grafica
Servizi social,"€20,00","€50,00",Social Media,tariffa oraria,"€30,00",60%,,,,"24-0006--Partito Democratico di Genova e della Liguria ,24-0009--Fabio Gilardi Sindaco ,24-0011--Start 4.0,24-0014--Serteco Volley School Genova ,24-0022--,24-0008-2-Ordine Ingegneri Genova ,24-0009--Fabio Gilardi Sindaco ,24-0020-5-,24-0032-7-Ameri,24-0030-1-Gruppo Frama,25-0001--Roberto Arboscello - Vicepresidente Consiglio Regionale della Liguria ",,,,Social Media
Consulenza Social,"€50,00","€100,00",Social Media,tariffa oraria,"€50,00",50%,,,,"24-0003-3-TARA BIANCA ,24-0006--Partito Democratico di Genova e della Liguria ,24-0014--Serteco Volley School Genova ,24-0022--,24-0008-1-Ordine Ingegneri Genova ",,,,Social Media
Monitoraggio legislativo,"€20,00","€60,00",Media & Public Relations,tariffa oraria,"€40,00",67%,,,,24-0005-1-IIT - Istituto Italiano di Tecnologia,,,,Media & Public Relations
Monitoraggio eventi ed attività istituzionali ,"€20,00","€60,00",Media & Public Relations,tariffa oraria,"€40,00",67%,,,,"24-0005-2-IIT - Istituto Italiano di Tecnologia,24-0026--Chiappe Revello ",,,,Media & Public Relations
Cura dei contatti istituzionali e stakeholder PR,"€20,00","€60,00",Media & Public Relations,tariffa oraria,"€40,00",67%,,,,24-0005-3-IIT - Istituto Italiano di Tecnologia,,,,Media & Public Relations
Setup tecnico,"€20,00","€50,00",Podcast,tariffa oraria,"€30,00",60%,,,,25-0014-2-Start 4.0,,Podcast da Remoto Essential,,Podcast
Setup iniziale del Podcast,"€25,00","€60,00",Podcast,tariffa oraria,"€35,00",58%,,,,"25-0014-1-Start 4.0,25-0024-1- Centofiori Fondazione ",,Podcast da Remoto Essential,,Podcast
Regia da remoto,"€20,00","€50,00",Podcast,tariffa oraria,"€30,00",60%,,,,25-0014-3-Start 4.0,,Podcast da Remoto Essential,,Podcast
Montaggio Podcast,"€20,00","€50,00",Podcast,tariffa oraria,"€30,00",60%,,,,"25-0014-4-Start 4.0,25-0014-6-Start 4.0,25-0014-8-Start 4.0",,"Podcast da Remoto Essential,Podcast da Remoto Essential",,Podcast
Pubblicazione e report,"€15,00","€40,00",Podcast,tariffa oraria,"€25,00",63%,,,,25-0014-5-Start 4.0,,Podcast da Remoto Essential,,Podcast
